date;day_text;footnote;label;phase;season;season_number;season_total;days
2028-01-04;\FirstQuarter;;;waxing;\x;0;0;0
2028-01-11;\FullMoon;;;full;\xHemanta;4;8;15
2028-01-16;;\xAjahnChahMemorialDay;aj-chah-memorial;;;0;0;0
2028-01-19;\LastQuarter;;;waning;\x;0;0;0
2028-01-26;\NewMoon;;;new;\xHemanta;5;8;15
2028-02-03;\FirstQuarter;;;waxing;\x;0;0;0
2028-02-10;\FullMoon;;magha;full;\xHemanta;6;8;15
2028-02-10;\FullMoon;\xMaghaPuja;magha;;;0;0;0
2028-02-18;\LastQuarter;;;waning;\x;0;0;0
2028-02-24;\NewMoon;;;new;\xHemanta;7;8;14
2028-03-03;\FirstQuarter;;;waxing;\x;0;0;0
2028-03-10;\FullMoon;;;full;\xHemanta;8;8;15
2028-03-18;\LastQuarter;;;waning;\x;0;0;0
2028-03-25;\NewMoon;;;new;\xGimha;1;8;15
2028-04-02;\FirstQuarter;;;waxing;\x;0;0;0
2028-04-09;\FullMoon;;;full;\xGimha;2;8;15
2028-04-13;;\xThaiNewYear;thai-new-year;;;0;0;0
2028-04-17;\LastQuarter;;;waning;\x;0;0;0
2028-04-23;\NewMoon;;;new;\xGimha;3;8;14
2028-05-01;\FirstQuarter;;;waxing;\x;0;0;0
2028-05-08;\FullMoon;;vesakha;full;\xGimha;4;8;15
2028-05-08;\FullMoon;\xVesakhaPuja;vesakha;;;0;0;0
2028-05-16;\LastQuarter;;;waning;\x;0;0;0
2028-05-23;\NewMoon;;;new;\xGimha;5;8;15
2028-05-31;\FirstQuarter;;;waxing;\x;0;0;0
2028-06-07;\FullMoon;;;full;\xGimha;6;8;15
2028-06-15;\LastQuarter;;;waning;\x;0;0;0
2028-06-17;;\xAjahnChahBirthDay;aj-chah-birthday;;;0;0;0
2028-06-21;\NewMoon;;;new;\xGimha;7;8;14
2028-06-29;\FirstQuarter;;;waxing;\x;0;0;0
2028-07-06;\FullMoon;;asalha;full;\xGimha;8;8;15
2028-07-06;\FullMoon;\xAsalhaPuja;asalha;;;0;0;0
2028-07-07;;\xFirstDayOfVassa;first-day;;;0;0;0
2028-07-14;\LastQuarter;;;waning;\x;0;0;0
2028-07-21;\NewMoon;;;new;\xVassana;1;8;15
2028-07-29;\FirstQuarter;;;waxing;\x;0;0;0
2028-08-05;\FullMoon;;;full;\xVassana;2;8;15
2028-08-13;\LastQuarter;;;waning;\x;0;0;0
2028-08-19;\NewMoon;;;new;\xVassana;3;8;14
2028-08-27;\FirstQuarter;;;waxing;\x;0;0;0
2028-09-03;\FullMoon;;;full;\xVassana;4;8;15
2028-09-11;\LastQuarter;;;waning;\x;0;0;0
2028-09-18;\NewMoon;;;new;\xVassana;5;8;15
2028-09-26;\FirstQuarter;;;waxing;\x;0;0;0
2028-10-03;\FullMoon;;pavarana;full;\xVassana;6;8;15
2028-10-03;\FullMoon;\xPavarana;pavarana;;;0;0;0
2028-10-03;\FullMoon;\xLastDayOfVassa;last-day;;;0;0;0
2028-10-11;\LastQuarter;;;waning;\x;0;0;0
2028-10-17;\NewMoon;;;new;\xVassana;7;8;14
2028-10-25;\FirstQuarter;;;waxing;\x;0;0;0
2028-11-01;\FullMoon;;;full;\xVassana;8;8;15
2028-11-09;\LastQuarter;;;waning;\x;0;0;0
2028-11-16;\NewMoon;;;new;\xHemanta;1;8;15
2028-11-24;\FirstQuarter;;;waxing;\x;0;0;0
2028-12-01;\FullMoon;;;full;\xHemanta;2;8;15
2028-12-09;\LastQuarter;;;waning;\x;0;0;0
2028-12-15;\NewMoon;;;new;\xHemanta;3;8;14
2028-12-23;\FirstQuarter;;;waxing;\x;0;0;0
2028-12-30;\FullMoon;;;full;\xHemanta;4;8;15
