date;day_text;footnote;label;phase;season;season_number;season_total;days
2030-01-03;\NewMoon;;;new;\xHemanta;3;8;14
2030-01-11;\FirstQuarter;;;waxing;\x;0;0;0
2030-01-16;;\xAjahnChahMemorialDay;aj-chah-memorial;;;0;0;0
2030-01-18;\FullMoon;;;full;\xHemanta;4;8;15
2030-01-26;\LastQuarter;;;waning;\x;0;0;0
2030-02-02;\NewMoon;;;new;\xHemanta;5;8;15
2030-02-10;\FirstQuarter;;;waxing;\x;0;0;0
2030-02-17;\FullMoon;;magha;full;\xHemanta;6;8;15
2030-02-17;\FullMoon;\xMaghaPuja;magha;;;0;0;0
2030-02-25;\LastQuarter;;;waning;\x;0;0;0
2030-03-03;\NewMoon;;;new;\xHemanta;7;8;14
2030-03-11;\FirstQuarter;;;waxing;\x;0;0;0
2030-03-18;\FullMoon;;;full;\xHemanta;8;8;15
2030-03-26;\LastQuarter;;;waning;\x;0;0;0
2030-04-02;\NewMoon;;;new;\xGimha;1;8;15
2030-04-10;\FirstQuarter;;;waxing;\x;0;0;0
2030-04-13;;\xThaiNewYear;thai-new-year;;;0;0;0
2030-04-17;\FullMoon;;;full;\xGimha;2;8;15
2030-04-25;\LastQuarter;;;waning;\x;0;0;0
2030-05-01;\NewMoon;;;new;\xGimha;3;8;14
2030-05-09;\FirstQuarter;;;waxing;\x;0;0;0
2030-05-16;\FullMoon;;vesakha;full;\xGimha;4;8;15
2030-05-16;\FullMoon;\xVesakhaPuja;vesakha;;;0;0;0
2030-05-24;\LastQuarter;;;waning;\x;0;0;0
2030-05-31;\NewMoon;;;new;\xGimha;5;8;15
2030-06-08;\FirstQuarter;;;waxing;\x;0;0;0
2030-06-15;\FullMoon;;;full;\xGimha;6;8;15
2030-06-17;;\xAjahnChahBirthDay;aj-chah-birthday;;;0;0;0
2030-06-23;\LastQuarter;;;waning;\x;0;0;0
2030-06-30;\NewMoon;;;new;\xGimha;7;8;15
2030-07-08;\FirstQuarter;;;waxing;\x;0;0;0
2030-07-15;\FullMoon;;asalha;full;\xGimha;8;8;15
2030-07-15;\FullMoon;\xAsalhaPuja;asalha;;;0;0;0
2030-07-16;;\xFirstDayOfVassa;first-day;;;0;0;0
2030-07-23;\LastQuarter;;;waning;\x;0;0;0
2030-07-30;\NewMoon;;;new;\xVassana;1;8;15
2030-08-07;\FirstQuarter;;;waxing;\x;0;0;0
2030-08-14;\FullMoon;;;full;\xVassana;2;8;15
2030-08-22;\LastQuarter;;;waning;\x;0;0;0
2030-08-28;\NewMoon;;;new;\xVassana;3;8;14
2030-09-05;\FirstQuarter;;;waxing;\x;0;0;0
2030-09-12;\FullMoon;;;full;\xVassana;4;8;15
2030-09-20;\LastQuarter;;;waning;\x;0;0;0
2030-09-27;\NewMoon;;;new;\xVassana;5;8;15
2030-10-05;\FirstQuarter;;;waxing;\x;0;0;0
2030-10-12;\FullMoon;;pavarana;full;\xVassana;6;8;15
2030-10-12;\FullMoon;\xPavarana;pavarana;;;0;0;0
2030-10-12;\FullMoon;\xLastDayOfVassa;last-day;;;0;0;0
2030-10-20;\LastQuarter;;;waning;\x;0;0;0
2030-10-26;\NewMoon;;;new;\xVassana;7;8;14
2030-11-03;\FirstQuarter;;;waxing;\x;0;0;0
2030-11-10;\FullMoon;;;full;\xVassana;8;8;15
2030-11-18;\LastQuarter;;;waning;\x;0;0;0
2030-11-25;\NewMoon;;;new;\xHemanta;1;8;15
2030-12-03;\FirstQuarter;;;waxing;\x;0;0;0
2030-12-10;\FullMoon;;;full;\xHemanta;2;8;15
2030-12-18;\LastQuarter;;;waning;\x;0;0;0
2030-12-24;\NewMoon;;;new;\xHemanta;3;8;14
