date;day_text;note;label;phase;season;season_number;season_total;days
2026-01-03;\FullMoon;;;full;\xHemanta;4;8;15
2026-01-11;\LastQuarter;;;waning;\x;0;0;0
2026-01-16;;\xAjahnChahMemorialDay;aj-chah-memorial;;;0;0;0
2026-01-18;\NewMoon;;;new;\xHemanta;5;8;15
2026-01-26;\FirstQuarter;;;waxing;\x;0;0;0
2026-02-02;\FullMoon;;;full;\xHemanta;6;8;15
2026-02-10;\LastQuarter;;;waning;\x;0;0;0
2026-02-16;\NewMoon;;;new;\xHemanta;7;8;14
2026-02-24;\FirstQuarter;;;waxing;\x;0;0;0
2026-03-03;\FullMoon;;magha;full;\xHemanta;8;8;15
2026-03-03;\FullMoon;\xMaghaPuja;magha;;;0;0;0
2026-03-11;\LastQuarter;;;waning;\x;0;0;0
2026-03-18;\NewMoon;;;new;\xGimha;1;10;15
2026-03-26;\FirstQuarter;;;waxing;\x;0;0;0
2026-04-02;\FullMoon;;;full;\xGimha;2;10;15
2026-04-10;\LastQuarter;;;waning;\x;0;0;0
2026-04-13;;\xThaiNewYear;thai-new-year;;;0;0;0
2026-04-16;\NewMoon;;;new;\xGimha;3;10;14
2026-04-24;\FirstQuarter;;;waxing;\x;0;0;0
2026-05-01;\FullMoon;;;full;\xGimha;4;10;15
2026-05-09;\LastQuarter;;;waning;\x;0;0;0
2026-05-16;\NewMoon;;;new;\xGimha;5;10;15
2026-05-24;\FirstQuarter;;;waxing;\x;0;0;0
2026-05-31;\FullMoon;;vesakha;full;\xGimha;6;10;15
2026-05-31;\FullMoon;\xVesakhaPuja;vesakha;;;0;0;0
2026-06-08;\LastQuarter;;;waning;\x;0;0;0
2026-06-14;\NewMoon;;;new;\xGimha;7;10;14
2026-06-17;;\xAjahnChahBirthDay;aj-chah-birthday;;;0;0;0
2026-06-22;\FirstQuarter;;;waxing;\x;0;0;0
2026-06-29;\FullMoon;;;full;\xGimha;8;10;15
2026-07-07;\LastQuarter;;;waning;\x;0;0;0
2026-07-14;\NewMoon;;;new;\xGimha;9;10;15
2026-07-22;\FirstQuarter;;;waxing;\x;0;0;0
2026-07-29;\FullMoon;;asalha;full;\xGimha;10;10;15
2026-07-29;\FullMoon;\xAsalhaPuja;asalha;;;0;0;0
2026-07-30;;\xFirstDayOfVassa;first-day;;;0;0;0
2026-08-06;\LastQuarter;;;waning;\x;0;0;0
2026-08-13;\NewMoon;;;new;\xVassana;1;8;15
2026-08-21;\FirstQuarter;;;waxing;\x;0;0;0
2026-08-28;\FullMoon;;;full;\xVassana;2;8;15
2026-09-05;\LastQuarter;;;waning;\x;0;0;0
2026-09-11;\NewMoon;;;new;\xVassana;3;8;14
2026-09-19;\FirstQuarter;;;waxing;\x;0;0;0
2026-09-26;\FullMoon;;;full;\xVassana;4;8;15
2026-10-04;\LastQuarter;;;waning;\x;0;0;0
2026-10-11;\NewMoon;;;new;\xVassana;5;8;15
2026-10-19;\FirstQuarter;;;waxing;\x;0;0;0
2026-10-26;\FullMoon;;pavarana;full;\xVassana;6;8;15
2026-10-26;\FullMoon;\xPavarana;pavarana;;;0;0;0
2026-10-26;\FullMoon;\xLastDayOfVassa;last-day;;;0;0;0
2026-11-03;\LastQuarter;;;waning;\x;0;0;0
2026-11-09;\NewMoon;;;new;\xVassana;7;8;14
2026-11-17;\FirstQuarter;;;waxing;\x;0;0;0
2026-11-24;\FullMoon;;;full;\xVassana;8;8;15
2026-12-02;\LastQuarter;;;waning;\x;0;0;0
2026-12-09;\NewMoon;;;new;\xHemanta;1;8;15
2026-12-17;\FirstQuarter;;;waxing;\x;0;0;0
2026-12-24;\FullMoon;;;full;\xHemanta;2;8;15
