date;day_text;note;label;phase;season;season_number;season_total;days
2027-01-01;\LastQuarter;;;waning;\x;0;0;0
2027-01-07;\NewMoon;;;new;\xHemanta;3;8;14
2027-01-15;\FirstQuarter;;;waxing;\x;0;0;0
2027-01-16;;\xAjahnChahMemorialDay;aj-chah-memorial;;;0;0;0
2027-01-22;\FullMoon;;;full;\xHemanta;4;8;15
2027-01-30;\LastQuarter;;;waning;\x;0;0;0
2027-02-06;\NewMoon;;;new;\xHemanta;5;8;15
2027-02-14;\FirstQuarter;;;waxing;\x;0;0;0
2027-02-21;\FullMoon;;magha;full;\xHemanta;6;8;15
2027-02-21;\FullMoon;\xMaghaPuja;magha;;;0;0;0
2027-03-01;\LastQuarter;;;waning;\x;0;0;0
2027-03-07;\NewMoon;;;new;\xHemanta;7;8;14
2027-03-15;\FirstQuarter;;;waxing;\x;0;0;0
2027-03-22;\FullMoon;;;full;\xHemanta;8;8;15
2027-03-30;\LastQuarter;;;waning;\x;0;0;0
2027-04-06;\NewMoon;;;new;\xGimha;1;8;15
2027-04-13;;\xThaiNewYear;thai-new-year;;;0;0;0
2027-04-14;\FirstQuarter;;;waxing;\x;0;0;0
2027-04-21;\FullMoon;;;full;\xGimha;2;8;15
2027-04-29;\LastQuarter;;;waning;\x;0;0;0
2027-05-05;\NewMoon;;;new;\xGimha;3;8;14
2027-05-13;\FirstQuarter;;;waxing;\x;0;0;0
2027-05-20;\FullMoon;;vesakha;full;\xGimha;4;8;15
2027-05-20;\FullMoon;\xVesakhaPuja;vesakha;;;0;0;0
2027-05-28;\LastQuarter;;;waning;\x;0;0;0
2027-06-04;\NewMoon;;;new;\xGimha;5;8;15
2027-06-12;\FirstQuarter;;;waxing;\x;0;0;0
2027-06-17;;\xAjahnChahBirthDay;aj-chah-birthday;;;0;0;0
2027-06-19;\FullMoon;;;full;\xGimha;6;8;15
2027-06-27;\LastQuarter;;;waning;\x;0;0;0
2027-07-03;\NewMoon;;;new;\xGimha;7;8;14
2027-07-11;\FirstQuarter;;;waxing;\x;0;0;0
2027-07-18;\FullMoon;;asalha;full;\xGimha;8;8;15
2027-07-18;\FullMoon;\xAsalhaPuja;asalha;;;0;0;0
2027-07-19;;\xFirstDayOfVassa;first-day;;;0;0;0
2027-07-26;\LastQuarter;;;waning;\x;0;0;0
2027-08-02;\NewMoon;;;new;\xVassana;1;8;15
2027-08-10;\FirstQuarter;;;waxing;\x;0;0;0
2027-08-17;\FullMoon;;;full;\xVassana;2;8;15
2027-08-25;\LastQuarter;;;waning;\x;0;0;0
2027-08-31;\NewMoon;;;new;\xVassana;3;8;14
2027-09-08;\FirstQuarter;;;waxing;\x;0;0;0
2027-09-15;\FullMoon;;;full;\xVassana;4;8;15
2027-09-23;\LastQuarter;;;waning;\x;0;0;0
2027-09-30;\NewMoon;;;new;\xVassana;5;8;15
2027-10-08;\FirstQuarter;;;waxing;\x;0;0;0
2027-10-15;\FullMoon;;pavarana;full;\xVassana;6;8;15
2027-10-15;\FullMoon;\xPavarana;pavarana;;;0;0;0
2027-10-15;\FullMoon;\xLastDayOfVassa;last-day;;;0;0;0
2027-10-23;\LastQuarter;;;waning;\x;0;0;0
2027-10-29;\NewMoon;;;new;\xVassana;7;8;14
2027-11-06;\FirstQuarter;;;waxing;\x;0;0;0
2027-11-13;\FullMoon;;;full;\xVassana;8;8;15
2027-11-21;\LastQuarter;;;waning;\x;0;0;0
2027-11-28;\NewMoon;;;new;\xHemanta;1;8;15
2027-12-06;\FirstQuarter;;;waxing;\x;0;0;0
2027-12-13;\FullMoon;;;full;\xHemanta;2;8;15
2027-12-21;\LastQuarter;;;waning;\x;0;0;0
2027-12-27;\NewMoon;;;new;\xHemanta;3;8;14
