number_symbol;day_text_symbol;note_symbol;number_above_offset;number_right_offset;day_text_above_offset;day_text_right_offset
\StarMark;\StarMark;\NoteStarMark;-9pt;-1pt;-9pt;-1pt
\KiteMark;\KiteMark;\NoteKiteMark;-9pt;-2pt;-9pt;-2pt
